pa, pp, ta, tp
a sheriff collects a crystal .,a crystal is collected by a sheriff .,the father caught the worker .,the worker was caught by the father .
the parent described the cheese .,the cheese was described by the parent .,an actress purchases a chicken .,a chicken is purchased by an actress .
a woman kissed a singer .,a singer was kissed by a woman .,the opponent forgets the beer .,the beer is forgotten by the opponent .
the cop destroys the beer .,the beer is destroyed by the cop .,a professor discovered a nurse .,a nurse was discovered by a professor .
a colonel tasted a pie .,a pie was tasted by a colonel .,the professor drinks the coffee .,the coffee is drunk by the professor .
the woman chased the actor .,the actor was chased by the woman .,a scientist judges a prince .,a prince is judged by a scientist .
the husband carries the aunt .,the aunt is carried by the husband .,a secretary beat a lawyer .,a lawyer was beaten by a secretary .
a husband wraps a machine .,a machine is wrapped by a husband .,the business kept the key .,the key was kept by the business .
a wife kills a pilot .,a pilot is killed by a wife .,the opponent embraced the champion .,the champion was embraced by the opponent .
the uncle teaches the author .,the author is taught by the uncle .,a pilot left an iron .,an iron was left by a pilot .
the manager hurries the hero .,the hero is hurried by the manager .,a captain grabbed a student .,a student was grabbed by a captain .
a king beat a scientist .,a scientist was beaten by a king .,the girl judges the band .,the band is judged by the girl .
a president removes a gun .,a gun is removed by a president .,the band wanted the meal .,the meal was wanted by the band .
a prince collects a juice .,a juice is collected by a prince .,the employee protected the doctor .,the doctor was protected by the employee .
the bishop surprised the guest .,the guest was surprised by the bishop .,a prince chases a business .,a business is chased by a prince .
the writer forgets the glass .,the glass is forgotten by the writer .,a president smelled a wire .,a wire was smelled by a president .
an uncle discovered a pie .,a pie was discovered by an uncle .,the buddy comforts the author .,the author is comforted by the buddy .
the cousin eats the salad .,the salad is eaten by the cousin .,a prince wrapped a coat .,a coat was wrapped by a prince .
the winner hurt the lawyer .,the lawyer was hurt by the winner .,a child bothers a company .,a company is bothered by a child .
an aunt grabs a manager .,a manager is grabbed by an aunt .,the prince forgave the author .,the author was forgiven by the prince .
the singer kissed the teacher .,the teacher was kissed by the singer .,a manager drags a captain .,a captain is dragged by a manager .
a mayor teaches a winner .,a winner is taught by a mayor .,the writer embraced the manager .,the manager was embraced by the writer .
an uncle follows a soldier .,a soldier is followed by an uncle .,the opponent taught the girl .,the girl was taught by the opponent .
the lady bothered the teacher .,the teacher was bothered by the lady .,a buddy accepts a gun .,a gun is accepted by a buddy .
the priest carried the bell .,the bell was carried by the priest .,a professor prepares a juice .,a juice is prepared by a professor .
the secretary eats the meal .,the meal is eaten by the secretary .,a king accepted a guitar .,a guitar was accepted by a king .
a nurse ate a candy .,a candy was eaten by a nurse .,the business protects the princess .,the princess is protected by the business .
a singer beats an actor .,an actor is beaten by a singer .,the employee joined the business .,the business was joined by the employee .
a mother left a flower .,a flower was left by a mother .,the colonel kills the man .,the man is killed by the colonel .
the physician taught the scientist .,the scientist was taught by the physician .,an attorney removes a book .,a book is removed by an attorney .
a chief selected a gun .,a gun was selected by a chief .,the teacher smells the tea .,the tea is smelled by the teacher .
a woman catches a computer .,a computer is caught by a woman .,the physician killed the adult .,the adult was killed by the physician .
the man hurt the husband .,the husband was hurt by the man .,a secretary asks a daughter .,a daughter is asked by a secretary .
a winner embraces an employee .,an employee is embraced by a winner .,the brother followed the man .,the man was followed by the brother .
a girl asks a buddy .,a buddy is asked by a girl .,the corporation purchased the iron .,the iron was purchased by the corporation .
a club wants a pie .,a pie is wanted by a club .,the secretary removed the bell .,the bell was removed by the secretary .
the cousin ate the meal .,the meal was eaten by the cousin .,a student discovers an instrument .,an instrument is discovered by a student .
a president accepts a ball .,a ball is accepted by a president .,the nurse discovered the bottle .,the bottle was discovered by the nurse .
a girl tastes a meal .,a meal is tasted by a girl .,the captain accepted the book .,the book was accepted by the captain .
a colonel tastes a salad .,a salad is tasted by a colonel .,the friend kissed the brother .,the brother was kissed by the friend .
the doctor keeps the chocolate .,the chocolate is kept by the doctor .,a secretary grabbed an adult .,an adult was grabbed by a secretary .
the club helps the friend .,the friend is helped by the club .,a soldier selected a chocolate .,a chocolate was selected by a soldier .
the princess purchases the coffee .,the coffee is purchased by the princess .,a colonel protected a physician .,a physician was protected by a colonel .
the aunt understood the captain .,the captain was understood by the aunt .,a winner embraces a princess .,a princess is embraced by a winner .
